baseline,app,bug_name,verdict,mutation_kind,capability,victim_tokens,tokens_asserted,suite_has_count_assertion
A,bookstack,recently_viewed_page_template,not_activated,remove,victim_mentioned,Chapter 2 | entity-list-item | entity-list-item-name | recently-viewed,Chapter 2 | entity-list-item,True
A,bookstack,recently_viewed_shelf,not_activated,remove,victim_mentioned,Chapter 2 | entity-list-item | entity-list-item-name | recently-viewed,Chapter 2 | entity-list-item,True
A,bookstack,search,oracle_miss,text,victim_mentioned,Page 1 | Page 3 | break-text | entity-list-item-name,Page 1,True
A,bookstack,settings,not_activated,remove,victim_not_asserted,Create Sort Rule | outline,,True
A,bookstack,unfavourite_shelf,oracle_miss,remove,victim_mentioned,Shelf | book-contents | bookshelf | entity-list | entity-list-item | entity-list-item-name,Shelf | entity-list | entity-list-item,True
A,bookstack,update_book,not_activated,text,victim_mentioned,Book2 | Updated Book | grid-card | text-limit-lines-2,Book2,True
A,indico,administration,not_activated,remove,indeterminate,,,True
A,indico,clone_event,not_activated,remove,victim_not_asserted,January 2025,,True
A,indico,create_announcement,not_activated,remove,victim_not_asserted,January 2025,,True
A,indico,create_conference,not_activated,remove,victim_not_asserted,January 2025,,True
A,indico,create_lecture,not_activated,remove,victim_not_asserted,January 2025,,True
A,indico,create_meeting,not_activated,remove,victim_not_asserted,January 2025,,True
A,indico,create_news,not_activated,remove,victim_not_asserted,January 2025,,True
A,indico,delete_conference,not_activated,remove,victim_not_asserted,event-management,,True
A,indico,delete_lecture,not_activated,remove,victim_not_asserted,event-management,,True
A,indico,delete_meeting,not_activated,remove,victim_not_asserted,event-management,,True
A,indico,edit_conference,not_activated,remove,victim_not_asserted,January 2025,,True
A,indico,edit_lecture,oracle_miss,remove,victim_not_asserted,January 2025,,True
A,indico,edit_meeting,oracle_miss,remove,victim_not_asserted,January 2025,,True
A,indico,favourite_conference,not_activated,insert,victim_not_asserted,January 2025 | event-icons | event-title | icon-star,,True
A,indico,favourite_lecture,not_activated,insert,victim_not_asserted,January 2025 | event-icons | event-title | icon-star,,True
A,indico,favourite_meeting,not_activated,insert,victim_not_asserted,January 2025 | event-icons | event-title | icon-star,,True
A,indico,fill_out_survey,not_activated,remove,victim_not_asserted,flashed-messages | success-message-box,,True
A,indico,profile_settings,not_activated,remove,victim_not_asserted,Add Indico user,,True
A,indico,register_conference,oracle_miss,unknown,victim_not_asserted,celled | fixed | sortable,,True
A,indico,room_booking,oracle_miss,remove,indeterminate,,,True
A,indico,search_events,not_activated,text,victim_mentioned,Web Automation 101 | item | list | search-results,item | list,True
A,indico,view_conference_details,not_activated,remove,victim_not_asserted,January 2025,,True
A,indico,view_conference_timetable,not_activated,insert,victim_not_asserted,"<span></span>
        <div class= | timetable_canvas",,True
A,indico,view_lecture_details,not_activated,remove,victim_not_asserted,January 2025,,True
A,indico,view_meeting_details,not_activated,remove,victim_not_asserted,January 2025,,True
A,invoiceninja,approve_quote,not_activated,insert,victim_not_asserted,<td class= | Upcoming Quotes,,True
A,invoiceninja,convert_quote_to_invoice,not_activated,text,victim_not_asserted,08/Oct/2025 | min-w-full,,True
A,invoiceninja,create_invoice,not_activated,text,victim_not_asserted,$ 20.00 | $ 200.00 | Subtotal,,True
A,invoiceninja,create_product,not_activated,text,victim_not_asserted,Tax Exempt | css-ood9ll-singleValue | flex | flex-col,,True
A,invoiceninja,delete_expired_quote,not_activated,insert,victim_not_asserted,<td class= | Expired Quotes,,True
A,invoiceninja,delete_payment,not_activated,insert,victim_not_asserted,<td class= | Recent Payments,,True
A,invoiceninja,disable_invoices_module,not_activated,insert,victim_not_asserted,<div class=,,True
A,invoiceninja,disable_quotes_module,not_activated,insert,victim_not_asserted,<div class=,,True
A,invoiceninja,enter_payment,not_activated,text,victim_not_asserted,Visa | css-ood9ll-singleValue,,True
A,invoiceninja,expired_quotes,not_activated,insert,victim_not_asserted,<td class= | min-w-full | table-fixed,,True
A,invoiceninja,localization,not_activated,text,victim_not_asserted,Euro (EUR) | css-ood9ll-singleValue,,True
A,invoiceninja,mark_invoice_as_paid,not_activated,insert,victim_not_asserted,<td class= | Upcoming Invoices,,True
A,invoiceninja,mark_past_due_invoice_as_paid,not_activated,insert,victim_not_asserted,<td class= | Past Due Invoices,,True
A,invoiceninja,past_due_invoices,not_activated,insert,victim_not_asserted,<td class=,,True
A,invoiceninja,recent_payments,not_activated,insert,victim_not_asserted,<td class= | min-w-full | table-fixed,,True
A,invoiceninja,recent_transactions_expenses,not_activated,text,victim_not_asserted,"$ 100,000.00 | Outstanding | Total Invoices Outstanding | flex | font-mono | items-center",,True
A,invoiceninja,recent_transactions_payments,not_activated,text,victim_not_asserted,"$ 100,000.00 | Outstanding | Total Invoices Outstanding | flex | font-mono | items-center",,True
A,invoiceninja,settings,not_activated,remove,victim_not_asserted,Export,,True
A,invoiceninja,stop_recurring_invoice,not_activated,insert,victim_not_asserted,"<td
      class= | Upcoming Recurring Invoices",,True
A,invoiceninja,upcoming_invoices,not_activated,insert,victim_not_asserted,<td class=,,True
A,invoiceninja,upcoming_quotes,not_activated,insert,victim_not_asserted,<td class= | min-w-full | table-fixed,,True
A,invoiceninja,upcoming_recurring_invoices,not_activated,insert,victim_not_asserted,<td class= | min-w-full | table-fixed,,True
A,invoiceninja,view_invoice_details,not_activated,text,victim_not_asserted,"$120000.00 | $180,000.00 | Subtotal",,True
A,invoiceninja,view_products,not_activated,remove,victim_not_asserted,flex | items-center | justify-between | my-3 | overflow-y-auto | pb-2,,True
A,invoiceninja,view_quote_details,not_activated,text,victim_not_asserted,"$720000.00 | $730,000.00 | Subtotal",,True
A,prestashop,buyer_add_product_to_cart,caught,remove,victim_not_asserted,cart-items,,True
A,prestashop,buyer_add_product_to_wishlist,not_activated,remove,victim_not_asserted,wishlist-products-list,,True
A,prestashop,buyer_contact_us,oracle_miss,remove,victim_mentioned,alert | alert-success,alert,True
A,prestashop,buyer_edit_quantity_in_cart,not_activated,remove,victim_not_asserted,cart-items,,True
A,prestashop,buyer_remove_product_from_cart,not_activated,insert,victim_not_asserted,cart-items,,True
A,prestashop,buyer_remove_product_from_wishlist,not_activated,insert,victim_not_asserted,Large Bear Cushion | wishlist-product-price | wishlist-product-title | wishlist-products-item | wishlist-products-list | €199.99,,True
A,prestashop,buyer_search_product,oracle_miss,text,victim_mentioned,Framed Poster | Pack Mug + Framed poster | js-product | product | product-description | product-title,product,True
A,prestashop,buyer_sort_products_by_name_a_to_z,not_activated,text,victim_mentioned,Hummingbird printed t-shirt | Zeus Printed T-Shirt | product-description | product-title,Hummingbird printed t-shirt,True
A,prestashop,buyer_sort_products_by_name_z_to_a,not_activated,text,victim_mentioned,Hummingbird printed t-shirt | Zeus Printed T-Shirt | product-description | product-title,Hummingbird printed t-shirt,True
A,prestashop,buyer_sort_products_by_price_high_to_low,not_activated,text,victim_mentioned,Hummingbird cushion | price | product-description | product-title | €49.99,price,True
A,prestashop,buyer_sort_products_by_price_low_to_high,not_activated,text,victim_mentioned,Hummingbird cushion | price | product-description | product-title | €49.99,price,True
A,prestashop,buyer_view_new_product_details,not_activated,remove,victim_not_asserted,On sale | featured-products,,True
A,prestashop,buyer_view_popular_product_details,not_activated,remove,victim_not_asserted,On sale | featured-products,,True
A,prestashop,buyer_view_store_information,oracle_miss,text,victim_mentioned,block | data,block | data,True
A,prestashop,seller_backorder_order,not_activated,text,victim_not_asserted,Paid and Delivered,,True
A,prestashop,seller_cancel_order,not_activated,text,victim_not_asserted,Paid and Delivered,,True
A,prestashop,seller_delete_product,not_activated,remove,indeterminate,,,True
A,prestashop,seller_deliver_order,not_activated,text,victim_not_asserted,Not delivered,,True
A,prestashop,seller_refund_order,not_activated,text,victim_not_asserted,Paid and Delivered,,True
A,prestashop,seller_ship_order,not_activated,text,victim_not_asserted,Not delivered,,True
A,prestashop,seller_view_carts,not_activated,insert,victim_not_asserted,<td class= | table-cart,,True
A,prestashop,seller_view_catalog_product_details,not_activated,remove,indeterminate,,,True
A,prestashop,seller_view_shop_design,not_activated,remove,victim_not_asserted,page-header-desc-image_type-new_image_type,,True
B,bookstack,comment,not_activated,insert,victim_mentioned,comment-box | comment-branch | comment-branch-children,comment-box,True
B,bookstack,count_recently_created_books,not_activated,insert,victim_mentioned,<span role= | entity-list | recent-books,entity-list,True
B,bookstack,count_recently_created_chapters,not_activated,insert,victim_mentioned,<span role= | entity-list | recent-chapters,entity-list,True
B,bookstack,count_recently_created_pages,oracle_miss,insert,victim_mentioned,<span role= | book-contents | entity-list,entity-list,True
B,bookstack,count_recently_created_shelves,not_activated,insert,victim_mentioned,<span role= | entity-list | recent-shelves,entity-list,True
B,bookstack,create_book,not_activated,remove,victim_mentioned,Bad Description | New Book | New Books | entity-list-item | entity-list-item-name | grid-card,entity-list-item | new,True
B,bookstack,create_page,not_activated,insert,victim_not_asserted,<div refs=,,True
B,bookstack,create_sort_rule,not_activated,text,victim_not_asserted,New Sort Rule | item-list-row | text-muted,,True
B,bookstack,delete_book,not_activated,insert,victim_mentioned,/books/book-duplicate | Book | grid | grid-card | third,Book | grid,True
B,bookstack,favourite_book,oracle_miss,remove,victim_mentioned,Shelf | book-contents | bookshelf | entity-list | entity-list-item | entity-list-item-name,Shelf | bookshelf | entity-list | entity-list-item,True
B,bookstack,favourite_chapter,oracle_miss,remove,victim_mentioned,Shelf | book-contents | bookshelf | entity-list | entity-list-item | entity-list-item-name,Shelf | bookshelf | entity-list | entity-list-item,True
B,bookstack,favourite_page,oracle_miss,remove,victim_mentioned,Shelf | book-contents | bookshelf | entity-list | entity-list-item | entity-list-item-name,Shelf | bookshelf | entity-list | entity-list-item,True
B,bookstack,favourite_page_template,oracle_miss,remove,victim_mentioned,Shelf | book-contents | bookshelf | entity-list | entity-list-item | entity-list-item-name,Shelf | bookshelf | entity-list | entity-list-item,True
B,bookstack,recent_activity_all,not_activated,text,victim_not_asserted,1 year ago | activity-list-item | text-muted,,True
B,bookstack,recent_activity_chapter,oracle_miss,text,victim_mentioned,details | recent-activity | text-muted,details,True
B,bookstack,recent_activity_page,oracle_miss,text,victim_mentioned,details | recent-activity | text-muted,details,True
B,bookstack,recent_activity_page_template,oracle_miss,text,victim_not_asserted,page-details,,True
B,bookstack,recent_activity_shelf,oracle_miss,text,victim_mentioned,details | recent-activity | text-muted,details,True
B,bookstack,recently_viewed_book,oracle_miss,remove,victim_mentioned,Chapter 2 | entity-list-item | entity-list-item-name | recently-viewed,Chapter 2 | entity-list-item,True
B,bookstack,recently_viewed_chapter,oracle_miss,remove,victim_mentioned,Page Template | entity-list-item | entity-list-item-name | recently-viewed,entity-list-item,True
B,bookstack,recently_viewed_page,oracle_miss,remove,victim_mentioned,Chapter 2 | entity-list-item | entity-list-item-name | recently-viewed,Chapter 2 | entity-list-item,True
B,bookstack,recently_viewed_page_template,oracle_miss,remove,victim_mentioned,Chapter 2 | entity-list-item | entity-list-item-name | recently-viewed,Chapter 2 | entity-list-item,True
B,bookstack,recently_viewed_shelf,oracle_miss,remove,victim_mentioned,Chapter 2 | entity-list-item | entity-list-item-name | recently-viewed,Chapter 2 | entity-list-item,True
B,bookstack,search,oracle_miss,text,victim_mentioned,Page 1 | Page 3 | break-text | entity-list-item-name,Page 1,True
B,bookstack,settings,not_activated,remove,victim_not_asserted,Create Sort Rule | outline,,True
B,bookstack,unfavourite_shelf,oracle_miss,remove,victim_mentioned,Shelf | book-contents | bookshelf | entity-list | entity-list-item | entity-list-item-name,Shelf | bookshelf | entity-list | entity-list-item,True
B,bookstack,update_book,not_activated,text,victim_mentioned,Book2 | Updated Book | grid-card | text-limit-lines-2,Book2,True
B,indico,administration,not_activated,remove,indeterminate,,,False
B,indico,clone_event,not_activated,remove,victim_not_asserted,January 2025,,False
B,indico,create_announcement,not_activated,remove,victim_not_asserted,January 2025,,False
B,indico,create_conference,not_activated,remove,victim_not_asserted,January 2025,,False
B,indico,create_lecture,not_activated,remove,victim_not_asserted,January 2025,,False
B,indico,create_meeting,not_activated,remove,victim_not_asserted,January 2025,,False
B,indico,create_news,not_activated,remove,victim_not_asserted,January 2025,,False
B,indico,delete_conference,oracle_miss,remove,victim_mentioned,event-management,event-management,False
B,indico,delete_lecture,oracle_miss,remove,victim_mentioned,event-management,event-management,False
B,indico,delete_meeting,oracle_miss,remove,victim_mentioned,event-management,event-management,False
B,indico,edit_conference,not_activated,remove,victim_not_asserted,January 2025,,False
B,indico,edit_lecture,not_activated,remove,victim_not_asserted,January 2025,,False
B,indico,edit_meeting,not_activated,remove,victim_not_asserted,January 2025,,False
B,indico,favourite_conference,not_activated,insert,needs_count_missing,January 2025 | event-icons | event-title | icon-star,,False
B,indico,favourite_lecture,not_activated,insert,needs_count_missing,January 2025 | event-icons | event-title | icon-star,,False
B,indico,favourite_meeting,not_activated,insert,needs_count_missing,January 2025 | event-icons | event-title | icon-star,,False
B,indico,fill_out_survey,not_activated,remove,victim_not_asserted,flashed-messages | success-message-box,,False
B,indico,profile_settings,not_activated,remove,victim_not_asserted,Add Indico user,,False
B,indico,register_conference,oracle_miss,unknown,victim_not_asserted,celled | fixed | sortable,,False
B,indico,room_booking,not_activated,remove,indeterminate,,,False
B,indico,search_events,not_activated,text,victim_mentioned,Web Automation 101 | item | list | search-results,item,False
B,indico,view_conference_details,not_activated,remove,victim_not_asserted,January 2025,,False
B,indico,view_conference_timetable,not_activated,insert,needs_count_missing,"<span></span>
        <div class= | timetable_canvas",,False
B,indico,view_lecture_details,not_activated,remove,victim_not_asserted,January 2025,,False
B,indico,view_meeting_details,not_activated,remove,victim_not_asserted,January 2025,,False
